request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_65,5728.75,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. None of the eligible options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,pay INR 22200 today. This leaves at least INR 189579.17 available.
request_67,414.36,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 15 November 2024, then pay USD 2094 in full. Paying sooner would put the USD 1200 minimum at risk."
request_68,1255.44,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1435.51 available."
request_69,516.41,affordable_with_plan,full_payment,2026-01-04:529.1,2026-01-15,reduce_to:event_6407:16.4,"Adjust the selected flexible spending, then pay EUR 529.1 today. This leaves at least EUR 721.22 available."
request_70,50451.66,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 15 February 2025, then pay INR 243900 in full. Paying sooner would put the INR 115000 minimum at risk."
request_71,0,not_affordable,not_recommended,none,,none,Do not make this payment by 28 May 2025. None of the eligible options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,pay ZAR 11330 today. This leaves at least ZAR 12839.95 available.
request_73,67827.25,affordable_with_plan,full_payment,2023-01-20:71400,2023-02-15,reduce_to:event_6789:1425,"Adjust the selected flexible spending, then pay INR 71400 today. This leaves at least INR 101052.25 available."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,pay ZAR 5010 today. This leaves at least ZAR 62688.46 available.
request_75,10969.8,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,reduce_to:event_6995:991.1|reduce_to:event_6998:991.1,"Use 3 installments of ZAR 9800.27, starting 9 April 2026. This leaves at least ZAR 28545.78 available."
request_76,766.65,not_affordable,not_recommended,none,2024-08-15,none,Do not make this payment by 30 July 2024. None of the eligible options keeps the USD 1800 minimum protected.
request_77,56005.08,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Adjust the selected flexible spending, then pay INR 60700 today. This leaves at least INR 78210.08 available."
request_78,41563.38,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7224:805,"Adjust the selected flexible spending, then pay INR 50200 today. This leaves at least INR 52075.47 available."
request_79,282.21,not_affordable,not_recommended,none,,none,Do not make this payment by 1 November 2024. None of the eligible options keeps the EUR 1000 minimum protected.
request_80,113626.24,not_affordable,not_recommended,none,,none,Do not make this payment by 21 February 2025. None of the eligible options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,pay USD 2076 today. This leaves at least USD 1646.75 available.
request_82,325.8,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1405.2 in full. Paying sooner would put the USD 1100 minimum at risk."
request_83,5710.56,not_affordable,not_recommended,none,,none,Do not make this payment by 17 June 2025. None of the eligible options keeps the INR 37800 minimum protected.
request_84,16047.51,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 15 June 2026, then pay INR 95400 in full. Paying sooner would put the INR 91300 minimum at risk."
request_85,451375.32,not_affordable,not_recommended,none,,none,Do not make this payment by 26 April 2024. None of the eligible options keeps the IDR 6396300 minimum protected.
request_86,45044,affordable_with_plan,full_payment,2025-08-03:46300,2025-08-23,reduce_to:event_8084:2360,"Adjust the selected flexible spending, then pay INR 46300 today. This leaves at least INR 87748.35 available."
request_87,13687.84,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the eligible options keeps the INR 185900 minimum protected.
request_88,10742.25,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This leaves at least ZAR 27497.02 available."
request_89,8566309.38,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. This leaves at least IDR 10065039.11 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,pay ZAR 2560 today. This leaves at least ZAR 28161.88 available.
request_91,207.84,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1927.2 in full. Paying sooner would put the EUR 2100 minimum at risk."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,pay ZAR 34034 today. This leaves at least ZAR 30063.95 available.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,pay USD 1729.2 today. This leaves at least USD 1943.7 available.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,pay EUR 572 today. This leaves at least EUR 1998 available.
request_95,10109.5,not_affordable,not_recommended,none,,none,Do not make this payment by 14 July 2025. None of the eligible options keeps the INR 145500 minimum protected.
request_96,74159.94,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This leaves at least INR 50946.06 available."
request_97,1625.14,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 31325.14 available."
request_98,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 October 2025. None of the eligible options keeps the ZAR 30000 minimum protected.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,pay ZAR 18062 today. This leaves at least ZAR 49494.18 available.
request_100,26259.09,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This leaves at least ZAR 31397.66 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,pay INR 143500 today. This leaves at least INR 188149.82 available.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 3974.48 available."
request_103,11203.49,not_affordable,not_recommended,none,,none,Do not make this payment by 7 October 2024. None of the eligible options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,pay ZAR 17204 today. This leaves at least ZAR 29279.76 available.
request_105,41990.87,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Adjust the selected flexible spending, then pay INR 53500 today. This leaves at least INR 72587.9 available."
request_106,439.18,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2207.7 in full. Paying sooner would put the EUR 1200 minimum at risk."
request_107,2485.54,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1464.89 available."
request_108,3193.7,not_affordable,not_recommended,none,2026-09-15,none,Do not make this payment by 26 July 2026. None of the eligible options keeps the ZAR 24100 minimum protected.
request_109,511.1,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1574.36 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 43461.87 available."
request_111,16247097.32,affordable_with_plan,full_payment,2026-04-03:16625000,2026-04-03,reduce_to:event_10296:335350,"Adjust the selected flexible spending, then pay IDR 16625000 today. This leaves at least IDR 23826400.3 available."
request_112,268.74,affordable_with_plan,full_payment,2024-06-05:271.7,2024-06-15,reduce_to:event_10396:13,"Adjust the selected flexible spending, then pay EUR 271.7 today. This leaves at least EUR 545 available."
request_113,20587.92,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Wait until 15 October 2026, then pay INR 36500 in full. Paying sooner would put the INR 82300 minimum at risk."
request_114,53763,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,reduce_to:event_10559:1450,"Adjust the selected flexible spending, then pay INR 65300 today. This leaves at least INR 111444.73 available."
request_115,14956.32,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 80500 in full. Paying sooner would put the INR 38800 minimum at risk."
request_116,9064.77,not_affordable,not_recommended,none,,none,Do not make this payment by 16 April 2025. None of the eligible options keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,pay EUR 880 today. This leaves at least EUR 1022.59 available.
request_118,622.53,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 571.39 available."
request_119,54897.04,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-07-15,none,"Use 3 installments of INR 70546.67, starting 18 May 2025. This leaves at least INR 144411.23 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,pay IDR 7714000 today. This leaves at least IDR 20164175.57 available.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,pay USD 633.6 today. This leaves at least USD 835.32 available.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 48573464.86 available."
request_123,0,not_affordable,not_recommended,none,2026-01-07,none,Do not make this payment by 28 March 2026. None of the eligible options keeps the IDR 18091200 minimum protected.
request_124,1324.44,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-15,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This leaves at least EUR 1296.94 available."
request_125,0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 November 2025. None of the eligible options keeps the ZAR 11300 minimum protected.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,pay INR 159600 today. This leaves at least INR 185950.86 available.
request_127,10603.97,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23980 in full. Paying sooner would put the ZAR 41000 minimum at risk."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,pay ZAR 25168 today. This leaves at least ZAR 43672.35 available.
request_129,70.11,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the eligible options keeps the USD 800 minimum protected.
request_130,414.04,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1978.8 in full. Paying sooner would put the USD 1400 minimum at risk."
request_131,1131.09,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 996.93 available."
request_132,196.53,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Wait until 15 February 2026, then pay USD 379.86 in full. Paying sooner would put the USD 1100 minimum at risk."
request_133,0,not_affordable,not_recommended,none,,none,Do not make this payment by 29 March 2024. None of the eligible options keeps the IDR 9986200 minimum protected.
request_134,4833218.29,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 15 October 2025, then pay IDR 21831000 in full. Paying sooner would put the IDR 15902500 minimum at risk."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,pay USD 304.8 today. This leaves at least USD 505.03 available.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,pay USD 560.4 today. This leaves at least USD 1110.96 available.
request_137,16579.31,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the eligible options keeps the INR 71800 minimum protected.
request_138,499.03,affordable_with_plan,partial_payment,2026-04-07:499.03|2026-04-15:757.91,2026-04-15,none,Pay EUR 499.03 now and EUR 757.91 on 15 April 2026. This keeps the EUR 2300 minimum protected.
request_139,1418.95,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1453.13 available."
request_140,2382.17,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the eligible options keeps the ZAR 21600 minimum protected.
request_141,18952.44,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2026. None of the eligible options keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,pay USD 1263.6 today. This leaves at least USD 4592.24 available.
request_143,3398.7,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 15 July 2025, then pay ZAR 12584 in full. Paying sooner would put the ZAR 11300 minimum at risk."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,pay USD 233.34 today. This leaves at least USD 612.33 available.
request_145,24125.22,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75365.33, starting 20 March 2024. This leaves at least INR 138136.17 available."
request_146,11789.57,not_affordable,not_recommended,none,,none,Do not make this payment by 17 October 2025. None of the eligible options keeps the INR 108600 minimum protected.
request_147,404.17,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 951.25 available."
request_148,8199.58,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This leaves at least ZAR 20489.02 available."
request_149,19731.35,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 37159.59 available."
request_150,287.41,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 539.86 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,pay IDR 26999000 today. This leaves at least IDR 33040650.28 available.
request_152,11079.84,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4812.43, starting 12 February 2025. This leaves at least ZAR 10254.94 available."
request_153,0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 September 2026. None of the eligible options keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 2455.41 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,pay INR 112500 today. This leaves at least INR 77645.93 available.
request_156,6745.14,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 43076 in full. Paying sooner would put the ZAR 26900 minimum at risk."
request_157,3888420.94,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 15 May 2024, then pay IDR 23503000 in full. Paying sooner would put the IDR 15714100 minimum at risk."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 605388.31 available."
request_159,0,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. None of the eligible options keeps the ZAR 8700 minimum protected.
request_160,584.89,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1352.84 available."
request_161,5814261.93,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 21204000 in full. Paying sooner would put the IDR 23010400 minimum at risk."
request_162,2513891.68,not_affordable,not_recommended,none,,none,Do not make this payment by 26 August 2026. None of the eligible options keeps the IDR 24161100 minimum protected.
request_163,10615798.26,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,none,"Use 3 installments of IDR 6692053.33, starting 10 September 2024. This leaves at least IDR 25433010.14 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 50302279.71 available."
request_165,57268.66,affordable_with_plan,full_payment,2026-04-06:80600,2026-04-06,reduce_to:event_15135:1665,"Adjust the selected flexible spending, then pay INR 80600 today. This leaves at least INR 76663.66 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 7197.49 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,pay ZAR 43802 today. This leaves at least ZAR 36921.07 available.
request_168,30501.38,affordable_with_plan,partial_payment,2026-01-07:30501.38|2026-02-15:18878.62,2026-02-15,none,Pay INR 30501.38 now and INR 18878.62 on 15 February 2026. This keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,pay ZAR 41976 today. This leaves at least ZAR 24076.61 available.
request_170,30151550.01,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This leaves at least IDR 27120891.7 available."
request_171,26.58,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the eligible options keeps the EUR 500 minimum protected.
request_172,8522.8,affordable_with_plan,partial_payment,2024-06-05:8522.8|2024-06-15:1677.2,2024-06-15,none,Pay ZAR 8522.8 now and ZAR 1677.2 on 15 June 2024. This keeps the ZAR 27200 minimum protected.
request_173,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 January 2026. None of the eligible options keeps the INR 79100 minimum protected.
request_174,1019.47,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 527.42 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,pay EUR 2346.3 today. This leaves at least EUR 2052.36 available.
request_176,388.46,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the eligible options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,pay USD 1017.6 today. This leaves at least USD 1456.52 available.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 5809.84 available."
request_179,8004425.36,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 15 July 2025, then pay IDR 41648000 in full. Paying sooner would put the IDR 41430800 minimum at risk."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,pay INR 66500 today. This leaves at least INR 48732.54 available.
request_181,226.83,not_affordable,not_recommended,none,,none,Do not make this payment by 7 April 2024. None of the eligible options keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,pay ZAR 65714 today. This leaves at least ZAR 42357.07 available.
request_183,21908409.56,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-06-15,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This leaves at least IDR 11227785.03 available."
request_184,2827.5,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. None of the eligible options keeps the INR 110800 minimum protected.
request_185,312.31,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,"Wait until 15 January 2026, then pay EUR 1257.3 in full. Paying sooner would put the EUR 1300 minimum at risk."
request_186,3433.4,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 15 March 2026, then pay ZAR 26554 in full. Paying sooner would put the ZAR 22000 minimum at risk."
request_187,40688.07,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 187500 in full. Paying sooner would put the INR 128300 minimum at risk."
